model,tier,R@5%,Lift@5%,AUROC,PR-AUC,NDCG
LR,Proxy,0.07805429864253394,1.5656108597285068,1.0,1.0,1.0000000000000004
LR,Hard-Near,0.06108597285067873,1.2262443438914028,1.0,1.0,1.0000000000000004
RF,Proxy,0.07805429864253394,1.5656108597285068,1.0,1.0,1.0000000000000004
RF,Hard-Near,0.06108597285067873,1.2262443438914028,1.0,1.0,1.0000000000000004
nnPU-L0,Proxy,0.07805429864253394,1.5656108597285068,1.0,1.0,1.0000000000000004
nnPU-L0,Hard-Near,0.06108597285067873,1.2262443438914028,1.0,1.0,1.0000000000000004
nnPU-LP0,Proxy,0.07239819004524888,1.4521607974293396,0.6068574660633483,0.795347828358468,0.9674639921665693
nnPU-LP0,Hard-Near,0.058823529411764705,1.1808278867102397,0.6149321266968326,0.8992371185739704,0.9851401183814306
