ligand_canonical_id,canonical_smiles,e3_uniprot,neo_uniprot,neo_gene_symbol,moa_type,endpoint_tier,endpoint_category,source_dataset,has_pdb_structure,mutation,is_family_level,label_positive,regime
CJPOCWXKYPARLC-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cnc(-c3ccccc3)c(C)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
LUJIEROYLWZKTP-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cccc(OC3CC3)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
AOKLKMXIDQFSLL-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(C3CCC3)cc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
ULLUFJRJPFHEGA-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cc(-c3ccccc3)ccn2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
NQTQXQUKCAYGMI-UHFFFAOYSA-N,CC1(c2ccc(NC(=O)OCc3cc(F)c4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4)cn2)CC1,,Q96SW2,CRBN,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
IMHNTSWSTIIKLJ-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(C3(C)CC3)nc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,Q96SW2,CRBN,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
RBAWCNPLPHOYPY-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cc(C)cc(C)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
KKBOJJOUKKYIHI-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(F)c(Cl)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
BALFIVJGKGMJQQ-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cc(F)cc(Cl)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
DZUOGDDRDJPZTN-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cc(Cl)cc(OC(F)F)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
MXKTXUKDEWLXCM-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(C)c(OC(F)F)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
ODVAXSKXWNUJIE-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cc(F)cc(OC(F)F)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
QOSSQIUGKFDXTP-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(F)c(OC(F)F)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
FZRMBYSLRWFNHW-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(-c3ccccc3)nc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
