compound_inchi_key,canonical_isomeric_smiles,canonical_smiles,stereo_status,source_dataset,source_record_id,ligand_source_id,e3_uniprot,e3_gene_symbol,target_uniprot,target_gene_symbol,moa_type,endpoint_tier,endpoint_category,assay_type,mutation_flag,mutation_detail,diagnostic_only,is_family_level,has_pdb_structure,pdb_id,dc50,dmax,mapping_assumption_flag,in_both_datasets
MDNWDYRMIDZIBI-UHFFFAOYSA-N,Cn1c(C2CCC(NC(=O)CCCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)nc2c3c(C4CCOCC4)c[nH]c3ncc21,Cn1c(C2CCC(NC(=O)CCCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)nc2c3c(C4CCOCC4)c[nH]c3ncc21,undefined,mgdb,MG-4874,MG-4874,,,P15170,GSPT1,unknown,3,cellular_phenotype,nan,False,,True,False,False,,,,nan,False
LIYAKIMSPVBFHL-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3cccc(Nc4cccc(C(=O)NC5CCC(c6nc7c(cnc8[nH]cc(C9CCOCC9)c87)[nH]6)CC5)c4)c3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3cccc(Nc4cccc(C(=O)NC5CCC(c6nc7c(cnc8[nH]cc(C9CCOCC9)c87)[nH]6)CC5)c4)c3C2=O)C(=O)N1,undefined,mgdb,MG-4875,MG-4875,,,P15170,GSPT1,unknown,3,cellular_phenotype,nan,False,,True,False,False,,,,nan,False
ZSUWCIJZQZGPSN-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3cccc(NCc4cccc(C(=O)NC5CCC(c6nc7c(cnc8[nH]cc(C9CCOCC9)c87)[nH]6)CC5)c4)c3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3cccc(NCc4cccc(C(=O)NC5CCC(c6nc7c(cnc8[nH]cc(C9CCOCC9)c87)[nH]6)CC5)c4)c3C2=O)C(=O)N1,undefined,mgdb,MG-4876,MG-4876,,,P15170,GSPT1,unknown,3,cellular_phenotype,nan,False,,True,False,False,,,,nan,False
VMIWWSAHTNFTIU-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3cccc(NCc4ccc(C(=O)NC5CCC(c6nc7c(cnc8[nH]cc(C9CCOCC9)c87)[nH]6)CC5)cc4)c3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3cccc(NCc4ccc(C(=O)NC5CCC(c6nc7c(cnc8[nH]cc(C9CCOCC9)c87)[nH]6)CC5)cc4)c3C2=O)C(=O)N1,undefined,mgdb,MG-4877,MG-4877,,,P15170,GSPT1,unknown,3,cellular_phenotype,nan,False,,True,False,False,,,,nan,False
HPAJZOMOTPWYDM-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3cccc(NCc4cccc(C(=O)NC5CCC(c6nc7cccnc7o6)CC5)c4)c3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3cccc(NCc4cccc(C(=O)NC5CCC(c6nc7cccnc7o6)CC5)c4)c3C2=O)C(=O)N1,undefined,mgdb,MG-4879,MG-4879,,,P15170,GSPT1,unknown,3,cellular_phenotype,nan,False,,True,False,False,,,,nan,False
AWPWXCGKAIKLEY-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3cccc(NCc4cccc(C(=O)NC5CCC(c6nc7cncnc7[nH]6)CC5)c4)c3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3cccc(NCc4cccc(C(=O)NC5CCC(c6nc7cncnc7[nH]6)CC5)c4)c3C2=O)C(=O)N1,undefined,mgdb,MG-4880,MG-4880,,,P15170,GSPT1,unknown,3,cellular_phenotype,nan,False,,True,False,False,,,,nan,False
VFSBFAWUNOZDBF-UHFFFAOYSA-N,Cn1c(C2CCC(COc3cccc(CNc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)c3)CC2)nc2ccncc21,Cn1c(C2CCC(COc3cccc(CNc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)c3)CC2)nc2ccncc21,undefined,mgdb,MG-4881,MG-4881,,,P15170,GSPT1,unknown,3,cellular_phenotype,nan,False,,True,False,False,,,,nan,False
OJOXHJNLRXBQOG-BPCZZZGCSA-N,C[C@@H]1CCN1C(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(CN4CCN(c5cc6c(cc5F)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,CC1CCN1C(=O)OC1CCC(c2cc(NC(=O)c3ccc(CN4CCN(c5cc6c(cc5F)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6306,MG-6306,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
WFKQEMDMHWUFQI-GMVNDESBSA-N,C[C@@H]1CCN1C(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(C4CCN(C[C@H]5CCN(c6ccc7c(c6)C(=O)N(C6CCC(=O)NC6=O)C7=O)C5)CC4)cc3)n[nH]2)C1,CC1CCN1C(=O)OC1CCC(c2cc(NC(=O)c3ccc(C4CCN(CC5CCN(c6ccc7c(c6)C(=O)N(C6CCC(=O)NC6=O)C7=O)C5)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6308,MG-6308,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
FLZDEXZIYXASQH-QHZIWRTKSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3ccc(CN4CCN(c5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)Cc3ccc(CN4CCN(c5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6298,MG-6298,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,CellTiter-Glo Assay,False,,True,False,False,,,,nan,False
