tier,model,auroc,auprc,recall@5,lift@5
Proxy,LR,0.9934992681538946,0.9952950718924549,0.09975155704313556,2.000000085493103
Proxy,RF,0.9945007798451743,0.9961251952491773,0.09975155704313556,2.000000085493103
PMD-v1,LR,0.7889610441867546,0.9609940736914224,0.053732500630511625,1.080459290070303
PMD-v1,RF,0.807147837030999,0.9666746035485154,0.05242531108802797,1.0541786287861816
PU Pool,LR,0.8579764648104661,0.9122116098506611,0.09975155704313556,2.000000085493103
PU Pool,RF,0.839826596826066,0.9056130028792382,0.09975155704313556,2.000000085493103
