tier,model,auroc,auprc,recall@5,lift@5
Proxy,LR,0.7032204701299394,0.7603495761296268,0.09909015715467329,1.9966666666666668
Proxy,RF,0.597132274415553,0.6986115049674954,0.09925558312655088,2.0
PMD-v1,LR,0.7750073188927036,0.9489789592560021,0.05541770057899091,1.1151053092147063
PMD-v1,RF,0.7547396928375483,0.9405386653241183,0.05343258891645989,1.0751633281787558
External PMD,LR,0.9450803150044136,0.987214740871544,0.05938792390405294,1.1935323040161747
External PMD,RF,0.9615544480819622,0.9899533741195448,0.05938792390405294,1.1935323040161747
