Patent Number,Application Id,Application Number,Application Date,Country,Application Title,I P C
599,CN373557572,202210718493.7,23.06.2022,CN,大萼变型甲素的新应用,A61K 31/366; A61K 36/53; A61P 35/00
600,US438545278,18572491,27.06.2022,US,"COMPOUNDS AND METHODS FOR DEGRADING RCOR1, LSD1, HDAC1 AND HDAC2 IN THE COREST",A61K 31/505; A61K 31/166; A61K 31/24; A61P 35/00
604,US442160501,18573967,28.06.2022,US,AMIDE COMPOUND AND USE THEREOF,C07D 401/04; A61K 31/454; A61K 31/4545; A61K 31/496; A61K 31/517; A61K 31/675; A61K 31/685; A61K 31/695; C07D 401/14; C07D 405/12; C07D 409/14; C07D 413/14; C07D 417/14; C07D 471/04; C07F 7/08; C07F 7/10; C07F 9/6558; C07F 9/6574
605,EP428692127,22832059,28.06.2022,EP,AMIDVERBINDUNG UND VERWENDUNG DAVON,C07D 401/04; A61K 31/454; A61K 31/4545; A61P 35/00; C07D 401/14
608,WO2023288305,PCT/US2022/073782,15.07.2022,WO,SMALL MOLECULE CYCLIN DEPENDENT KINASE 4/6 (CDK4/6) AND IKZF2 (HELIOS) DEGRADERS AND METHODS OF USE THEREOF,A61K 31/519; C07D 471/04; C07D 487/04
609,CA412654106,3217661,15.07.2022,CA,SMALL MOLECULE CYCLIN DEPENDENT KINASE 4/6 (CDK4/6) AND IKZF2 (HELIOS) DEGRADERS AND METHODS OF USE THEREOF,A61K 31/519; C07D 471/04; C07D 487/04
610,AU412654479,2022311961,15.07.2022,AU,SMALL MOLECULE CYCLIN DEPENDENT KINASE 4/6 (CDK4/6) AND IKZF2 (HELIOS) DEGRADERS AND METHODS OF USE THEREOF,A61K 31/519; C07D 471/04; C07D 487/04
611,US442710211,18577531,15.07.2022,US,SMALL MOLECULE CYCLIN DEPENDENT KINASE 4/6 (CDK4/6) AND IKZF2 (HELIOS) DEGRADERS AND METHODS OF USE THEREOF,C07D 471/04; A61K 31/4439; A61K 47/54; A61K 47/55; C07D 403/14
613,WO2023014296,PCT/SG2022/050551,02.08.2022,WO,MOLECULAR GLUE AND SALL4 DEGRADER,A61K 31/17; A61K 31/165; A61K 31/416; A61K 31/4162; A61K 31/4188; A61K 31/423; A61K 31/428; A61K 31/357; A61K 31/433; A61P 35/00
614,EP431008095,22853619,02.08.2022,EP,MOLEKULARER KLEBSTOFF UND SALL4-ABBAUER,A61K 31/17; A61K 31/165; A61K 31/357; A61K 31/416; A61K 31/4162; A61K 31/4188; A61K 31/423; A61K 31/428; A61K 31/433; A61P 35/00
615,US440653542,18293684,02.08.2022,US,MOLECULAR GLUE AND SALL4 DEGRADER,A61K 31/433; A61K 31/17; A61K 31/381; A61K 31/4196; A61K 31/423; A61K 31/428; A61K 31/4545; A61K 31/47; A61P 35/00
622,US442160538,18686748,25.08.2022,US,CYCLIN K DEGRADER,C07D 413/14; A61K 31/506; A61K 31/5377; A61K 31/675; A61P 35/00; C07D 401/12; C07D 401/14; C07D 405/12; C07D 405/14; C07D 409/14; C07F 9/6558
623,EP431011622,22860571,25.08.2022,EP,CYCLIN-K-ABBAUMITTEL,C07D 401/12; A61K 31/506; A61P 29/00; A61P 31/12; A61P 35/00; A61P 37/00; C07D 401/14; C07D 405/12; C07D 405/14; C07D 471/04
626,US442162808,18688519,31.08.2022,US,COMPOSITIONS AND METHODS FOR TARGETED DEGRADATION OF PROTEINS IN A PLANT CELL,A01H 3/04; A01N 43/40; A01N 43/60; A01N 43/78; A01N 43/84; A01N 43/90
627,WO2023034411,PCT/US2022/042198,31.08.2022,WO,COMPOSITIONS AND METHODS FOR TARGETED DEGRADATION OF PROTEINS IN A PLANT CELL,A01N 41/10; A01N 43/40; A01N 43/76; A01N 43/90; A61P 35/00; C07D 403/14; C07D 407/14; C07D 417/14; C12N 9/00
643,US438191172,18681173,14.09.2022,US,TRICYCLIC SULTAMS AND SULFAMIDES AS ANTITUMOR AGENTS,C07D 513/04; A61K 31/542; A61K 31/549
652,US444087618,18695529,30.09.2022,US,BINDERS OF CEREBLON AND METHODS OF USE THEREOF,C07D 401/14; A61K 31/454; A61K 31/506; C07D 401/04
653,WO2023056443,PCT/US2022/077385,30.09.2022,WO,BINDERS OF CEREBLON AND METHODS OF USE THEREOF,A61K 31/33; A61K 31/435; A61K 31/4545
655,US443648590,18698401,07.10.2022,US,TRICYCLIC SULFAMIDES AND SULTAMS,C07D 513/04; A61K 31/549
656,WO2023064152,PCT/US2022/045960,07.10.2022,WO,TRICYCLIC SULFAMIDES AND SULTAMS,C07D 285/16; A61K 31/433; A61P 35/00; C07D 513/02
657,WO2023059899,PCT/US2022/046088,07.10.2022,WO,FUSED BICYCLIC SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,C07D 209/30; C07D 209/38; C07D 401/12; C07D 403/12; C07D 405/12; C07D 409/12; C07D 413/12; C07D 417/12; C07D 513/04; A61P 43/00; A61K 31/404; A61K 31/428; A61K 31/423; A61K 31/4184; A61K 31/4704; A61K 31/47; A61K 31/55; A61K 31/553; A61K 31/554; A61K 31/5415; A61K 31/536
658,US444649542,18699461,07.10.2022,US,FUSED BICYCLIC SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,C07D 403/12; A61K 31/404; A61K 31/4184; A61K 31/423; A61K 31/428; A61K 31/4365; A61K 31/4709; A61K 31/4725; A61K 31/517; A61K 31/536; A61K 31/538; A61K 31/5383; A61K 31/5415; A61K 31/55; A61K 31/553; A61K 31/554; C07D 209/30; C07D 409/12; C07D 413/12; C07D 417/12; C07D 495/04; C07D 498/04
659,CA427285372,3234615,13.10.2022,CA,MODIFIED PROTEINS AND PROTEIN DEGRADERS,C07D 471/04; C07D 401/14; C07D 409/14; C07D 417/14; C07D 487/04; C07D 487/14; C07D 495/14
660,AU428432233,2022362494,13.10.2022,AU,MODIFIED PROTEINS AND PROTEIN DEGRADERS,C07D 471/04; A61P 35/00; C07D 401/14; C07D 409/14; C07D 417/14; C07D 487/04; C07D 487/14; C07D 495/14
661,WO2023061440,PCT/CN2022/125080,13.10.2022,WO,MODIFIED PROTEINS AND PROTEIN DEGRADERS,C07D 471/04; C07D 417/14; C07D 409/14; C07D 401/14; C07D 495/14; C07D 487/14; C07D 487/04; A61P 35/00
662,AU428412200,2022370021,20.10.2022,AU,"CRBN E3 LIGASE LIGAND COMPOUND, PROTEIN DEGRADING AGENT DEVELOPED ON THE BASIS OF LIGAND COMPOUND, AND THEIR APPLICATIONS",C07D 403/14; A61K 31/4035; A61K 31/4439; A61P 5/00; A61P 9/00; A61P 11/00; A61P 31/00; A61P 35/00; A61P 37/00
663,CA427789359,3235512,20.10.2022,CA,"CRBN E3 LIGASE LIGAND COMPOUND, PROTEIN DEGRADER DEVELOPED BASED THEREON AND THEIR APPLICATIONS",C07D 403/14; A61K 31/4035; A61K 31/4439
664,EP437777556,22882955,20.10.2022,EP,"CRBN-E3-LIGASE-LIGANDVERBINDUNG, AUF DER BASIS DER LIGANDENVERBINDUNG ENTWICKELTES PROTEINABBAUENDES MITTEL UND ANWENDUNGEN DAVON",C07D 403/14; A61K 31/4035; A61K 31/4439; A61P 5/00; A61P 9/00; A61P 11/00; A61P 31/00; A61P 35/00; A61P 37/00
665,WO2023069731,PCT/US2022/047454,21.10.2022,WO,COMPOUNDS THAT MEDIATE PROTEIN DEGRADATION AND METHODS OF USE THEREOF,C07D 401/10; C07D 401/14; C07D 405/14; A61P 35/00; A61P 35/02; A61K 31/45
667,WO2023069720,PCT/US2022/047437,21.10.2022,WO,COMPOUNDS THAT MEDIATE PROTEIN DEGRADATION AND METHODS OF USE THEREOF,A61P 35/00; C07D 401/04; C07D 401/14; C07D 405/14; C07D 409/14; C07D 413/14; A61K 31/45
669,WO2023069708,PCT/US2022/047421,21.10.2022,WO,COMPOUNDS THAT MEDIATE PROTEIN DEGRADATION AND USES THEREOF,C07D 401/10; C07D 401/14; C07D 491/08; C07D 491/107; C07D 405/14; A61P 35/00; A61K 31/45
670,WO2023069700,PCT/US2022/047410,21.10.2022,WO,COMPOUNDS THAT MEDIATE PROTEIN DEGRADATION AND METHODS OF USE THEREOF,A61P 35/00; C07D 401/04; C07D 401/14; C07D 405/14; C07D 413/14; C07D 417/14; A61K 31/45
674,WO2023081224,PCT/US2022/048725,02.11.2022,WO,"SUBSTITUTED N-((2-(2,6-DIOXOPIPERIDIN-3-YL)-1-OXOISOINDOLIN-4- YL)METHYL)BENZAMIDE ANALOGS AS MODULATORS OF CEREBLON PROTEIN",A61K 31/454; C07D 401/04; A61P 35/00; A61P 37/00
675,WO2024096753,PCT/PL2022/000063,02.11.2022,WO,NEK7 DEGRADERS AND METHODS OF USE THEREOF,C07D 401/14; C07D 405/14; A61P 35/00; A61P 37/00; A61K 31/4545
680,WO2023096822,PCT/US2022/050325,17.11.2022,WO,"SUBSTITUTED 2-(2-(2,6-DIOXOPIPERIDIN-3-YL)-1-OXOISOINDOLIN-5-YL)ACETAMIDE ANALOGS AS MODULATORS OF GSPT1 AND/OR IKZF1 PROTEIN",A61K 31/33; A61K 31/395; A61K 31/40
689,WO2023129332,PCT/US2022/051591,01.12.2022,WO,COVALENT MOLECULAR GLUE STABILIZERS AND PLATFORM,G01N 33/68; C07D 403/04; C07D 487/10; G01N 33/542
690,EP441043191,22903574,08.12.2022,EP,"LIGANDENVERBINDUNGEN FÜR E3-UBIQUITIN-LIGASE, AUF DER BASIS VON LIGANDENVERBINDUNGEN ENTWICKELTE PROTEINABBAUER UND VERWENDUNGEN DAVON",C07D 487/04; A61K 31/4035; A61K 31/44; A61K 31/4412; A61K 31/496; A61K 31/506; A61P 35/00; C07D 209/46; C07D 227/093; C07D 237/08; C07D 401/12; C07D 401/14; C07D 413/14; C07D 498/22
691,AU433687091,2022405474,08.12.2022,AU,"E3 UBIQUITIN LIGASE LIGAND COMPOUND, PROTEIN DEGRADER DEVELOPED BASED THEREON AND THEIR APPLICATIONS",C07D 487/04; A61K 31/4035; A61K 31/44; A61K 31/4412; A61K 31/496; A61K 31/506; A61P 35/00; C07D 209/46; C07D 227/093; C07D 237/08; C07D 401/12; C07D 401/14; C07D 413/14; C07D 498/22
705,WO2024167423,PCT/PL2023/000008,07.02.2023,WO,GSPT1 DEGRADER COMPOUNDS,C07D 401/04; C07D 401/14; C07D 405/14; C07D 409/14; C07D 413/14; A61P 35/00; A61K 31/4709
721,CN426586117,202310332612.X,31.03.2023,CN,一种基于分子胶原理降解Hsp90的化合物、其制备方法及其在治疗肿瘤中的应用,C07D 401/04; C07D 401/14; A61P 35/00
722,AU442360745,2023249084,06.04.2023,AU,COMPOUNDS AND METHODS OF TREATING CANCERS,C07D 401/14; A61K 31/496; A61P 35/00
723,WO2023193760,PCT/CN2023/086579,06.04.2023,WO,COMPOUNDS AND METHODS OF TREATING CANCERS,C07D 401/14; A61P 35/00; A61K 31/496
732,WO2023203174,PCT/EP2023/060375,20.04.2023,WO,HETEROCYCLIC CULLIN RING UBIQUITIN LIGASE COMPOUNDS AND USES THEREOF,C07D 471/04; A61P 3/00; A61P 25/00; A61P 31/00; A61P 35/00; A61K 31/437
734,WO2023203172,PCT/EP2023/060372,20.04.2023,WO,HETEROCYCLIC CULLIN RING UBIQUITIN LIGASE COMPOUNDS AND USES THEREOF,C07D 403/12; A61P 3/00; A61P 25/00; A61P 31/00; A61P 35/00; A61K 31/4155
754,WO2023239629,PCT/US2023/024397,05.06.2023,WO,COMPOUNDS AND PHARMACEUTICAL COMPOSITIONS THAT DEGRADE CDK2,C07D 401/14; C07D 413/14; C07D 471/10; C07D 491/10; A61P 1/00; A61P 25/00; A61P 11/00; A61P 35/00; A61P 37/00; A61K 31/4155
757,WO2023237116,PCT/CN2023/099547,09.06.2023,WO,PROTEIN DEGRADERS AND USES THEREOF,C07D 401/14; C07D 413/14; C07D 419/14; A61K 31/4427; A61P 35/00; A61P 35/02; A61P 37/02; A61P 29/00
761,WO2023244815,PCT/US2023/025589,16.06.2023,WO,MOLECULAR GLUE DEGRADERS AND METHODS OF USING THE SAME,C07D 401/14; C07D 405/14; C07D 417/14; C07D 471/04; C07D 487/18; C07D 491/20; A61P 35/00; A61K 31/4439
762,WO2023244817,PCT/US2023/025591,16.06.2023,WO,SUBSTITUTED PIPERIDINES AS CK1A DEGRADERS,C07D 401/14; C07D 405/14; A61P 35/00; A61K 31/454
763,WO2023244818,PCT/US2023/025593,16.06.2023,WO,MOLECULAR GLUE DEGRADERS AND METHODS OF USING THE SAME,C07D 401/04; C07D 401/14; C07D 413/14; C07D 417/14; A61P 35/00; A61K 31/4439
764,WO2023244806,PCT/US2023/025576,16.06.2023,WO,COMPOUNDS AND PHARMACEUTICAL COMPOSITIONS THAT DEGRADE SWI/SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY A,C07D 403/14; C07D 405/14; C07D 471/08; C07D 471/10; A61P 35/00; C07D 471/14; C07D 487/04; C07D 491/08; C07D 491/107; C07D 519/00
