compound_inchi_key,canonical_isomeric_smiles,canonical_smiles,stereo_status,source_dataset,source_record_id,ligand_source_id,e3_uniprot,e3_gene_symbol,target_uniprot,target_gene_symbol,moa_type,endpoint_tier,endpoint_category,assay_type,mutation_flag,mutation_detail,diagnostic_only,is_family_level,has_pdb_structure,pdb_id,dc50,dmax,mapping_assumption_flag,in_both_datasets,source_group,split
WLJWUZPBRQUJKU-AQYBFWAWSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5ccc6nc([C@H]7CC[C@@H](O)CC7)ccc6c5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5ccc6nc(C7CCC(O)CC7)ccc6c5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4127,4079,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4079,train
WLJWUZPBRQUJKU-ZLWINAAQSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5ccc6nc([C@H]7CC[C@H](O)CC7)ccc6c5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5ccc6nc(C7CCC(O)CC7)ccc6c5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4128,4080,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4080,train
ONGMIUBUJRLMSM-QUWDGAPNSA-N,CN(C(=O)C1CCOCC1)c1ccc2cc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,CN(C(=O)C1CCOCC1)c1ccc2cc(CN3CCC(Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,defined,mgtbind,4129,4081,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4081,train
WIKKPPJCKFQQFI-QHSFNAQHSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5cc(-c6ccc(C7CCOCC7)cc6)ccn5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5cc(-c6ccc(C7CCOCC7)cc6)ccn5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4130,4082,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4082,train
XNWQHNXGRIBFPC-BXXZMZEQSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5ccc6nc(N7CCCCC7=O)ccc6c5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5ccc6nc(N7CCCCC7=O)ccc6c5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4131,4083,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4083,train
HIORVFSGDSTQHK-ALLRNTDFSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5ccc6nc(NC(=O)C7CCOCC7)ccc6c5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5ccc6nc(NC(=O)C7CCOCC7)ccc6c5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4132,4084,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4084,train
LUMMZRBGDYQENJ-ZZHFZYNASA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5ccnc(-c6ccccc6)c5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5ccnc(-c6ccccc6)c5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4133,4085,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4085,train
MDJHSQNFIRWVIW-ZZHFZYNASA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5ccc6nc(N7CCOCC7=O)ccc6c5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5ccc6nc(N7CCOCC7=O)ccc6c5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4134,4086,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4086,train
ZKJUBMXMKVTUKP-FRJJDPGTSA-N,COC1CCC(C)(Nc2ccc3cc(CN4CC[C@H](Oc5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)C4)ccc3n2)CC1,COC1CCC(C)(Nc2ccc3cc(CN4CCC(Oc5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)C4)ccc3n2)CC1,defined,mgtbind,4135,4087,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4087,train
HXLDLKIVRDNWJZ-QSAPEBAKSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5ccc(-c6ccccc6)cn5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5ccc(-c6ccccc6)cn5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4105,4057,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4057,train
