Model,PR-AUC_mean,PR-AUC_std,AUROC_mean,AUROC_std,EF_1%_mean,EF_1%_std,EF_5%_mean,EF_5%_std
Int3D,0.11080145455323187,0.0011523084442592406,0.5235052777777778,0.0055872138256320685,1.9,0.22360679774997907,1.22,0.21679483388678794
L0-Ligand,0.11080281368123775,0.0029468439439454875,0.5241655555555556,0.00508000672875513,1.8,0.2738612787525832,1.2599999999999998,0.23021728866442667
Random,0.10041029168984879,0.007044262854152861,0.49324055555555557,0.0229046773856777,1.1999999999999997,0.4472135954999578,1.0,0.2000000000000001
